-88	704	155	849	481
365	-813	540	-447	-66
-403	420	-885	-184	937
-910	836	-201	897	717
-524	-976	-911	-457	213
189	-548	912	318	233
-365	-53	932	621	167
258	-649	-494	815	-562
571	-849	-256	67	-546
-486	854	-840	-581	284
-137	100	866	-865	-587
-447	95	60	-46	597
422	-719	-837	264	47
311	91	-50	-384	778
-685	-584	-215	670	24
205	-736	-247	-419	-662
-495	606	-838	-591	216
-909	547	835	928	-129
948	196	-506	879	-221
215	-160	855	-85	-997
399	663	977	-605	644
769	-441	453	125	-149
-952	-995	912	-485	877
-979	729	664	869	-339
515	911	784	-795	-475
274	-286	952	574	948
729	121	694	624	-790
674	821	-34	749	-96
253	-710	73	-735	251
-782	422	25	551	312
104	77	147	116	-971
689	-936	-780	338	-329
-675	641	-592	-193	817
-311	254	620	-741	553
-358	-815	588	801	969
-151	-521	-646	-772	-29
565	-316	-294	-716	61
-34	168	606	255	-989
46	-443	-890	690	-342
57	735	-832	915	-584
667	305	-658	-922	572
245	913	164	-638	-9
-320	-252	591	-340	768
-347	179	194	-517	910
-945	-426	244	784	-867
-60	898	-5	64	22
453	-979	-137	-855	-894
-737	417	712	176	566
145	814	-717	234	-11
-798	739	167	281	-549
876	422	-79	-748	230
507	-767	679	3	-765
994	-224	-931	383	-91
661	421	552	-251	529
-210	671	77	-522	-268
-429	-60	244	855	1000
-461	487	753	-453	-515
869	424	-400	-17	114
473	722	-752	-561	326
493	949	-411	-586	322
721	-643	614	-184	282
-398	582	-810	676	-815
-13	-992	-779	247	-419
-526	-867	-762	400	-86
226	874	759	925	-609
-674	443	862	8	-464
-704	108	220	-435	218
915	-898	496	286	-186
-799	-577	-403	-809	-985
858	47	17	166	637
407	-990	981	-464	-410
674	-820	-58	841	699
322	-943	75	-45	-305
-42	21	294	-931	530
412	656	483	569	632
877	208	-857	931	-764
849	241	745	-745	714
153	535	459	-874	553
-568	-409	-117	-90	123
232	645	820	222	683
115	-158	239	-223	-505
-524	153	-781	-833	887
-943	-976	-85	-314	-736
62	-789	-572	23	-361
-189	-979	657	-213	616
-947	336	584	-734	-459
14	571	-495	-119	-399
809	-892	14	638	-800
-153	-680	-358	-15	312
429	-648	385	-6	-902
-40	825	-35	747	-707
453	-84	730	683	845
921	466	-292	-878	84
667	-340	-294	-664	614
934	-499	-780	-274	624
-301	700	943	321	-588
29	-17	-148	-837	-104
-702	-229	-488	-102	362
-115	-285	-312	-708	592
486	465	359	164	-899
-249	-217	-349	302	-279
-883	-763	488	643	-220
148	996	-169	-499	-32
-832	539	-526	990	252
-143	520	190	846	1000
-677	308	474	-861	-795
